size;num_tests;p;c
3;100;0.26;0.8477781
3;100;0.27;0.86666685
3;100;0.28;0.8866669
3;100;0.29;0.816667
3;100;0.3;0.8433336
3;100;0.31;0.8733336
3;100;0.32;0.82666695
3;100;0.33;0.87222236
3;100;0.34;0.8144448
3;100;0.35;0.8488892
3;100;0.36;0.8366669
3;100;0.37;0.8655559
3;100;0.38;0.8588891
3;100;0.39;0.8822224
3;100;0.4;0.85111135
3;100;0.41;0.8700003
3;100;0.42;0.82777816
3;100;0.43;0.8388892
3;100;0.44;0.8488893
3;100;0.45;0.8222225
3;100;0.46;0.867778
3;100;0.47;0.8466669
3;100;0.48;0.8833337
3;100;0.49;0.87888914
3;100;0.5;0.86777794
3;100;0.51;0.89777803
3;100;0.52;0.88333356
3;100;0.53;0.85888916
3;100;0.54;0.93222237
3;100;0.55;0.9233334
3;100;0.56;0.92000014
3;100;0.57;0.8966669
3;100;0.58;0.9322224
3;100;0.59;0.8744446
3;100;0.6;0.9066669
3;100;0.61;0.918889
3;100;0.62;0.9411112
3;100;0.63;0.92000014
3;100;0.64;0.91777796
3;100;0.65;0.9244447
3;100;0.66;0.9322224
3;100;0.67;0.91444457
3;100;0.68;0.95555574
3;100;0.69;0.92444456
3;100;0.7;0.94222236
3;100;0.71;0.9644446
3;100;0.72;0.9511113
3;100;0.73;0.93333346
3;100;0.74;0.9822222
3;100;0.75;0.9644444
3;100;0.76;0.9822223
3;100;0.77;0.968889
3;100;0.78;0.9644445
3;100;0.79;0.968889
3;100;0.8;0.98666674
3;100;0.81;0.9600001
3;100;0.82;0.97777784
3;100;0.83;0.96888894
3;100;0.84;0.9644446
3;100;0.85;0.99111116
3;100;0.86;0.99111116
3;100;0.87;0.99111116
3;100;0.88;0.99111116
3;100;0.89;0.98666674
3;100;0.9;0.9955556
3;100;0.91;0.9955556
3;100;0.92;0.99111116
3;100;0.93;1.0
3;100;0.94;1.0
3;100;0.95;0.9955556
3;100;0.96;1.0
3;100;0.97;1.0
3;100;0.98;1.0
3;100;0.99;1.0
3;100;1.0;1.0
4;100;0.0;1.0
4;100;0.01;1.0
4;100;0.02;0.9975
4;100;0.03;0.9875
4;100;0.04;0.97
4;100;0.05;0.9775
4;100;0.06;0.9675
4;100;0.07;0.94
4;100;0.08;0.923125
4;100;0.09;0.914375
4;100;0.1;0.91875
4;100;0.11;0.919375
4;100;0.12;0.926875
4;100;0.13;0.874375
4;100;0.14;0.875625
4;100;0.15;0.88125
4;100;0.16;0.85125
4;100;0.17;0.810625
4;100;0.18;0.815
4;100;0.19;0.855625
4;100;0.2;0.87875
4;100;0.21;0.858125
4;100;0.22;0.8325
4;100;0.23;0.80625
4;100;0.24;0.821875
4;100;0.25;0.81125
4;100;0.26;0.806875
4;100;0.27;0.825625
4;100;0.28;0.785625
4;100;0.29;0.83875
4;100;0.3;0.77875
4;100;0.31;0.774375
4;100;0.32;0.8175
4;100;0.33;0.78375
4;100;0.34;0.81875
4;100;0.35;0.81625
4;100;0.36;0.819375
4;100;0.37;0.78125
4;100;0.38;0.853125
4;100;0.39;0.849375
4;100;0.4;0.86875
4;100;0.41;0.874375
4;100;0.42;0.840625
4;100;0.43;0.895625
4;100;0.44;0.813125
4;100;0.45;0.875
4;100;0.46;0.89875
4;100;0.47;0.8575
4;100;0.48;0.85875
4;100;0.49;0.919375
4;100;0.5;0.87625
4;100;0.51;0.9025
4;100;0.52;0.896875
4;100;0.53;0.91875
4;100;0.54;0.89125
4;100;0.55;0.9275
4;100;0.56;0.9175
4;100;0.57;0.95
4;100;0.58;0.950625
4;100;0.59;0.94875
4;100;0.6;0.9575
4;100;0.61;0.95
4;100;0.62;0.966875
4;100;0.63;0.96125
4;100;0.64;0.9875
4;100;0.65;0.98
4;100;0.66;0.9775
4;100;0.67;0.978125
4;100;0.68;0.975625
4;100;0.69;0.98
4;100;0.7;0.9825
4;100;0.71;0.9825
4;100;0.72;0.99
4;100;0.73;0.97875
4;100;0.74;0.9925
4;100;0.75;0.9825
4;100;0.76;0.995
4;100;0.77;0.9975
4;100;0.78;0.98
4;100;0.79;0.9975
4;100;0.8;0.995
4;100;0.81;0.99
4;100;0.82;0.9975
4;100;0.83;1.0
4;100;0.84;0.99
4;100;0.85;0.9975
4;100;0.86;0.9975
4;100;0.87;0.985
4;100;0.88;0.995
4;100;0.89;0.995
4;100;0.9;1.0
4;100;0.91;0.9975
4;100;0.92;1.0
4;100;0.93;1.0
4;100;0.94;0.9975
4;100;0.95;1.0
4;100;0.96;1.0
4;100;0.97;1.0
4;100;0.98;1.0
4;100;0.99;1.0
4;100;1.0;1.0
5;100;0.0;1.0
5;100;0.01;1.0
5;100;0.02;0.98159987
5;100;0.03;0.97359985
5;100;0.04;0.96559966
5;100;0.05;0.9563997
5;100;0.06;0.9315998
5;100;0.07;0.9255996
5;100;0.08;0.90879977
5;100;0.09;0.8787998
5;100;0.1;0.88879985
5;100;0.11;0.8891996
5;100;0.12;0.8343998
5;100;0.13;0.8223995
5;100;0.14;0.80959976
